Symbol,Company
HEROMOTOCO,Hero MotoCorp Ltd.
HEXT,Hexaware Technologies Ltd.
HSCL,Himadri Speciality Chemical Ltd.
HINDALCO,Hindalco Industries Ltd.
HAL,Hindustan Aeronautics Ltd.
HINDCOPPER,Hindustan Copper Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
HINDZINC,Hindustan Zinc Ltd.
POWERINDIA,Hitachi Energy India Ltd.
HOMEFIRST,Home First Finance Company India Ltd.
HONASA,Honasa Consumer Ltd.
HONAUT,Honeywell Automation India Ltd.
HUDCO,Housing & Urban Development Corporation Ltd.
HYUNDAI,Hyundai Motor India Ltd.
ICICIBANK,ICICI Bank Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
ICICIAMC,ICICI Prudential Asset Management Company Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
IDBI,IDBI Bank Ltd.
IDFCFIRSTB,IDFC First Bank Ltd.
IFCI,IFCI Ltd.
IIFL,IIFL Finance Ltd.
IRB,IRB Infrastructure Developers Ltd.
IRCON,IRCON International Ltd.
ITCHOTELS,ITC Hotels Ltd.
ITC,ITC Ltd.
ITI,ITI Ltd.
INDGN,Indegene Ltd.
INDIACEM,India Cements Ltd.
INDIAMART,Indiamart Intermesh Ltd.
INDIANB,Indian Bank
IEX,Indian Energy Exchange Ltd.
INDHOTEL,Indian Hotels Co. Ltd.
IOC,Indian Oil Corporation Ltd.
IOB,Indian Overseas Bank
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.
IRFC,Indian Railway Finance Corporation Ltd.
IREDA,Indian Renewable Energy Development Agency Ltd.
IGL,Indraprastha Gas Ltd.
INDUSTOWER,Indus Towers Ltd.
INDUSINDBK,IndusInd Bank Ltd.
NAUKRI,Info Edge (India) Ltd.
INFY,Infosys Ltd.
INOXWIND,Inox Wind Ltd.
INTELLECT,Intellect Design Arena Ltd.
INDIGO,InterGlobe Aviation Ltd.
IGIL,International Gemological Institute Ltd.
IKS,Inventurus Knowledge Solutions Ltd.
IPCALAB,Ipca Laboratories Ltd.
JKCEMENT,J.K. Cement Ltd.
JBMA,JBM Auto Ltd.
JKTYRE,JK Tyre & Industries Ltd.
JMFINANCIL,JM Financial Ltd.
JSWCEMENT,JSW Cement Ltd.
JSWDULUX,JSW Dulux Ltd.
JSWENERGY,JSW Energy Ltd.
JSWINFRA,JSW Infrastructure Ltd.
JSWSTEEL,JSW Steel Ltd.
JAINREC,Jain Resource Recycling Ltd.
JPPOWER,Jaiprakash Power Ventures Ltd.
J&KBANK,Jammu & Kashmir Bank Ltd.
JINDALSAW,Jindal Saw Ltd.
JSL,Jindal Stainless Ltd.
JINDALSTEL,Jindal Steel Ltd.
JIOFIN,Jio Financial Services Ltd.
JUBLFOOD,Jubilant Foodworks Ltd.
JUBLINGREA,Jubilant Ingrevia Ltd.
JUBLPHARMA,Jubilant Pharmova Ltd.
JWL,Jupiter Wagons Ltd.
JYOTICNC,Jyoti CNC Automation Ltd.
KPRMILL,K.P.R. Mill Ltd.
KEI,KEI Industries Ltd.
KPITTECH,KPIT Technologies Ltd.
KAJARIACER,Kajaria Ceramics Ltd.
KPIL,Kalpataru Projects International Ltd.
KALYANKJIL,Kalyan Jewellers India Ltd.
KARURVYSYA,Karur Vysya Bank Ltd.
KAYNES,Kaynes Technology India Ltd.
KEC,Kec International Ltd.
KFINTECH,Kfin Technologies Ltd.
KIRLOSENG,Kirloskar Oil Eng Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
KIMS,Krishna Institute of Medical Sciences Ltd.
LTF,L&T Finance Ltd.
LTTS,L&T Technology Services Ltd.
LGEINDIA,LG Electronics India Ltd.
LICHSGFIN,LIC Housing Finance Ltd.
LTFOODS,LT Foods Ltd.
LTM,LTM Ltd.
LT,Larsen & Toubro Ltd.
LATENTVIEW,Latent View Analytics Ltd.
LAURUSLABS,Laurus Labs Ltd.
THELEELA,Leela Palaces Hotels & Resorts Ltd.
LEMONTREE,Lemon Tree Hotels Ltd.
LENSKART,Lenskart Solutions Ltd.
LICI,Life Insurance Corporation of India
LINDEINDIA,Linde India Ltd.
LLOYDSME,Lloyds Metals And Energy Ltd.
LODHA,Lodha Developers Ltd.
LUPIN,Lupin Ltd.
MMTC,MMTC Ltd.
MRF,MRF Ltd.
MGL,Mahanagar Gas Ltd.
M&MFIN,Mahindra & Mahindra Financial Services Ltd.
M&M,Mahindra & Mahindra Ltd.
MANAPPURAM,Manappuram Finance Ltd.
MRPL,Mangalore Refinery & Petrochemicals Ltd.
MANKIND,Mankind Pharma Ltd.
MARICO,Marico Ltd.
MARUTI,Maruti Suzuki India Ltd.
MFSL,Max Financial Services Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.
MEESHO,Meesho Ltd.
MINDACORP,Minda Corporation Ltd.
MSUMI,Motherson Sumi Wiring India Ltd.
MOTILALOFS,Motilal Oswal Financial Services Ltd.
MPHASIS,MphasiS Ltd.
MCX,Multi Commodity Exchange of India Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
NATCOPHARM,NATCO Pharma Ltd.
NBCC,NBCC (India) Ltd.
NCC,NCC Ltd.
NHPC,NHPC Ltd.
NLCINDIA,NLC India Ltd.
NMDC,NMDC Ltd.
NSLNISP,NMDC Steel Ltd.
NTPCGREEN,NTPC Green Energy Ltd.
NTPC,NTPC Ltd.
NH,Narayana Hrudayalaya Ltd.
NATIONALUM,National Aluminium Co. Ltd.
NAVA,Nava Ltd.
NAVINFLUOR,Navin Fluorine International Ltd.
NESTLEIND,Nestle India Ltd.
NETWEB,Netweb Technologies India Ltd.
NEULANDLAB,Neuland Laboratories Ltd.
NEWGEN,Newgen Software Technologies Ltd.
NAM-INDIA,Nippon Life India Asset Management Ltd.
NIVABUPA,Niva Bupa Health Insurance Company Ltd.
NUVAMA,Nuvama Wealth Management Ltd.
NUVOCO,Nuvoco Vistas Corporation Ltd.
OBEROIRLTY,Oberoi Realty Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OIL,Oil India Ltd.
OLAELEC,Ola Electric Mobility Ltd.
OLECTRA,Olectra Greentech Ltd.
PAYTM,One 97 Communications Ltd.
ONESOURCE,Onesource Specialty Pharma Ltd.
OFSS,Oracle Financial Services Software Ltd.
POLICYBZR,PB Fintech Ltd.
PCBL,PCBL Chemical Ltd.
PGEL,PG Electroplast Ltd.
PIIND,PI Industries Ltd.
PNBHOUSING,PNB Housing Finance Ltd.
PTCIL,PTC Industries Ltd.
PVRINOX,PVR INOX Ltd.
PAGEIND,Page Industries Ltd.
PARADEEP,Paradeep Phosphates Ltd.
PATANJALI,Patanjali Foods Ltd.
PERSISTENT,Persistent Systems Ltd.
PETRONET,Petronet LNG Ltd.
PFIZER,Pfizer Ltd.
PHOENIXLTD,Phoenix Mills Ltd.
PWL,Physicswallah Ltd.
PIDILITIND,Pidilite Industries Ltd.
PINELABS,Pine Labs Ltd.
PIRAMALFIN,Piramal Finance Ltd.
PPLPHARMA,Piramal Pharma Ltd.
POLYMED,Poly Medicure Ltd.
POLYCAB,Polycab India Ltd.
POONAWALLA,Poonawalla Fincorp Ltd.
PFC,Power Finance Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
PREMIERENE,Premier Energies Ltd.
PRESTIGE,Prestige Estates Projects Ltd.
PFOCUS,Prime Focus Ltd.
PNB,Punjab National Bank
RRKABEL,R R Kabel Ltd.
RBLBANK,RBL Bank Ltd.
RECLTD,REC Ltd.
RHIM,RHI MAGNESITA INDIA LTD.
RITES,RITES Ltd.
RADICO,Radico Khaitan Ltd
RVNL,Rail Vikas Nigam Ltd.
RAILTEL,Railtel Corporation Of India Ltd.
RAINBOW,Rainbow Childrens Medicare Ltd.
RKFORGE,Ramkrishna Forgings Ltd.
REDINGTON,Redington Ltd.
RELIANCE,Reliance Industries Ltd.
RPOWER,Reliance Power Ltd.
SBFC,SBFC Finance Ltd.
SBICARD,SBI Cards and Payment Services Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SJVN,SJVN Ltd.
SRF,SRF Ltd.
SAGILITY,Sagility Ltd.
SAILIFE,Sai Life Sciences Ltd.
SAMMAANCAP,Sammaan Capital Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SAPPHIRE,Sapphire Foods India Ltd.
SARDAEN,Sarda Energy and Minerals Ltd.
SAREGAMA,Saregama India Ltd
SCHAEFFLER,Schaeffler India Ltd.
SCHNEIDER,Schneider Electric Infrastructure Ltd.
SCI,Shipping Corporation of India Ltd.
SHREECEM,Shree Cement Ltd.
SHRIRAMFIN,Shriram Finance Ltd.
SHYAMMETL,Shyam Metalics and Energy Ltd.
ENRIN,Siemens Energy India Ltd.
SIEMENS,Siemens Ltd.
SIGNATURE,Signatureglobal (India) Ltd.
SOBHA,Sobha Ltd.
SOLARINDS,Solar Industries India Ltd.
SONACOMS,Sona BLW Precision Forgings Ltd.
SONATSOFTW,Sonata Software Ltd.
STARHEALTH,Star Health and Allied Insurance Company Ltd.
SBIN,State Bank of India
SAIL,Steel Authority of India Ltd.
SUMICHEM,Sumitomo Chemical India Ltd.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
SUNTV,Sun TV Network Ltd.
SUNDARMFIN,Sundaram Finance Ltd.
SUPREMEIND,Supreme Industries Ltd.
SPLPETRO,Supreme Petrochem Ltd.
SUZLON,Suzlon Energy Ltd.
SWANCORP,Swan Corp Ltd.
SWIGGY,Swiggy Ltd.
SYNGENE,Syngene International Ltd.
SYRMA,Syrma SGS Technology Ltd.
TBOTEK,TBO Tek Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TATACAP,Tata Capital Ltd.
TATACHEM,Tata Chemicals Ltd.
TATACOMM,Tata Communications Ltd.
TCS,Tata Consultancy Services Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TATAELXSI,Tata Elxsi Ltd.
TATAINVEST,Tata Investment Corporation Ltd.
TMCV,Tata Motors Ltd.
TMPV,Tata Motors Passenger Vehicles Ltd.
TATAPOWER,Tata Power Co. Ltd.
TATASTEEL,Tata Steel Ltd.
TATATECH,Tata Technologies Ltd.
TTML,Tata Teleservices (Maharashtra) Ltd.
TECHM,Tech Mahindra Ltd.
TECHNOE,Techno Electric & Engineering Company Ltd.
TEGA,Tega Industries Ltd.
TEJASNET,Tejas Networks Ltd.
TENNIND,Tenneco Clean Air India Ltd.
NIACL,The New India Assurance Company Ltd.
RAMCOCEM,The Ramco Cements Ltd.
THERMAX,Thermax Ltd.
TIMKEN,Timken India Ltd.
TITAGARH,Titagarh Rail Systems Ltd.
TITAN,Titan Company Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
TORNTPOWER,Torrent Power Ltd.
TARIL,Transformers And Rectifiers (India) Ltd.
TRAVELFOOD,Travel Food Services Ltd.
TRENT,Trent Ltd.
TRIDENT,Trident Ltd.
TRITURBINE,Triveni Turbine Ltd.
TIINDIA,Tube Investments of India Ltd.
UCOBANK,UCO Bank
UNOMINDA,UNO Minda Ltd.
UPL,UPL Ltd.
UTIAMC,UTI Asset Management Company Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
UNIONBANK,Union Bank of India
UBL,United Breweries Ltd.
UNITDSPR,United Spirits Ltd.
URBANCO,Urban Company Ltd.
USHAMART,Usha Martin Ltd.
VTL,Vardhman Textiles Ltd.
VBL,Varun Beverages Ltd.
VEDL,Vedanta Ltd.
VIJAYA,Vijaya Diagnostic Centre Ltd.
VMM,Vishal Mega Mart Ltd.
IDEA,Vodafone Idea Ltd.
VOLTAS,Voltas Ltd.
WAAREEENER,Waaree Energies Ltd.
WELCORP,Welspun Corp Ltd.
WELSPUNLIV,Welspun Living Ltd.
WHIRLPOOL,Whirlpool of India Ltd.
WIPRO,Wipro Ltd.
WOCKPHARMA,Wockhardt Ltd.
YESBANK,Yes Bank Ltd.
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.
ZEEL,Zee Entertainment Enterprises Ltd.
ZENTEC,Zen Technologies Ltd.
ZENSARTECH,Zensar Technolgies Ltd.
ZYDUSLIFE,Zydus Lifesciences Ltd.
ZYDUSWELL,Zydus Wellness Ltd.
ECLERX,eClerx Services Ltd.
